Yard Line,Number of Plays,Passing Plays,Passing Touchdowns,Rushing Plays,Rushing Touchdowns
1,387,112,56,241,144
2,305,134,38,108,36
3,229,106,42,89,32
4,209,97,43,76,20
5,237,111,38,100,23
6,219,103,40,94,14
7,246,130,35,85,19
8,206,97,20,77,8
9,229,108,33,84,6
10,257,125,27,92,10
11,278,146,27,96,8
12,244,103,12,101,5
13,264,126,21,97,15
14,288,137,24,107,8
15,300,142,21,102,4
16,259,113,10,107,3
17,306,157,19,113,5
18,279,115,11,128,3
19,293,142,12,102,0
20,311,145,15,120,2
21,286,145,9,101,1
22,303,163,14,85,3
23,330,161,15,118,4
24,352,178,12,122,1
25,343,167,12,119,1
26,265,140,7,94,2
27,314,156,10,123,3
28,305,160,10,107,1
29,345,163,13,133,0
30,398,199,9,147,2
31,321,166,9,122,2
32,313,158,5,127,3
33,358,193,7,111,1
34,328,164,11,132,2
35,368,196,2,131,0
36,358,191,3,128,1
37,341,199,8,111,1
38,349,172,5,146,0
39,341,185,7,110,1
40,463,225,5,174,2
41,363,187,4,131,0
42,373,185,5,138,0
43,411,219,4,143,0
44,453,248,8,148,1
45,502,272,1,161,1
46,369,182,7,131,1
47,425,234,4,145,0
48,439,240,4,136,0
49,520,273,5,171,1
50,548,267,2,195,1
51,440,211,4,163,1
52,440,249,2,150,1
53,488,271,2,165,0
54,502,272,2,161,1
55,581,284,6,220,0
56,456,218,4,168,3
57,500,253,2,178,0
58,464,239,3,165,0
59,548,290,5,186,1
60,593,311,4,200,0
61,533,293,10,171,1
62,516,266,3,179,0
63,565,317,3,175,0
64,547,285,4,190,2
65,3165,314,1,213,2
66,537,262,3,205,0
67,532,300,3,170,1
68,557,293,4,197,0
69,622,339,4,219,1
70,605,324,2,203,1
71,624,289,4,234,0
72,563,279,3,193,1
73,517,283,1,158,0
74,541,298,2,169,0
75,686,384,4,206,0
76,568,292,2,198,2
77,617,366,6,169,1
78,581,312,3,184,0
79,537,290,4,172,0
80,2155,1145,9,837,2
81,431,243,3,143,2
82,395,205,1,122,2
83,361,196,3,105,1
84,329,170,1,115,0
85,360,200,4,111,0
86,297,134,0,123,1
87,290,162,2,87,0
88,256,129,2,88,0
89,247,124,0,94,0
90,272,132,0,109,0
91,214,105,1,76,1
92,189,78,1,87,0
93,105,45,1,39,0
94,141,67,2,53,1
95,121,51,3,51,0
96,99,34,0,49,0
97,92,33,1,51,1
98,65,19,1,36,0
99,55,24,1,26,0
