Yard Line,Number of Plays,Passing Plays,Passing Touchdowns,Rushing Plays,Rushing Touchdowns
1,369,98,46,244,131
2,310,176,48,105,41
3,234,109,45,89,26
4,203,105,43,62,15
5,234,126,49,77,17
6,256,124,26,100,20
7,210,106,35,80,12
8,234,132,44,73,14
9,245,135,31,72,8
10,284,153,36,93,7
11,285,152,30,94,8
12,260,119,25,105,8
13,240,136,30,77,5
14,271,139,22,97,4
15,346,171,18,104,5
16,297,162,28,92,5
17,288,141,17,98,4
18,244,120,16,90,3
19,301,162,15,99,3
20,321,170,19,100,1
21,289,140,17,115,1
22,304,169,17,95,3
23,339,174,9,124,3
24,295,148,7,100,1
25,296,160,13,93,3
26,275,139,9,88,3
27,309,164,8,104,1
28,324,165,8,122,2
29,322,162,8,110,0
30,349,183,9,116,2
31,313,160,10,112,2
32,394,213,7,137,0
33,366,194,4,123,0
34,373,205,7,123,1
35,356,182,5,134,2
36,385,201,5,141,0
37,410,219,2,150,2
38,341,184,6,121,6
39,352,199,5,117,2
40,449,247,8,143,0
41,378,180,7,150,1
42,367,189,8,124,0
43,389,194,3,135,1
44,442,240,3,130,1
45,445,234,7,159,0
46,444,245,5,143,0
47,417,224,6,134,1
48,460,252,4,151,4
49,467,254,3,151,0
50,525,288,8,156,3
51,428,231,2,135,0
52,420,243,3,134,0
53,457,237,5,154,1
54,487,254,3,179,1
55,515,269,4,189,0
56,491,280,3,154,0
57,477,255,3,170,0
58,540,283,2,188,0
59,526,303,3,150,0
60,631,328,5,207,1
61,542,302,6,160,0
62,549,320,1,164,0
63,571,311,4,193,2
64,480,254,3,172,0
65,3191,328,4,233,1
66,557,293,5,190,0
67,583,328,2,186,1
68,562,327,2,174,2
69,573,323,4,195,2
70,587,315,4,206,0
71,577,257,3,227,2
72,565,286,5,195,1
73,576,332,2,165,0
74,579,323,4,168,0
75,719,384,5,225,1
76,557,294,4,179,0
77,572,339,5,156,0
78,560,319,2,166,0
79,484,268,2,148,0
80,2521,1335,12,969,3
81,410,212,3,132,0
82,382,218,2,111,0
83,356,188,2,112,0
84,360,186,3,128,0
85,377,196,0,129,1
86,286,141,0,98,0
87,244,125,3,83,1
88,242,126,2,73,0
89,254,127,0,94,0
90,309,164,2,113,0
91,191,95,0,76,0
92,185,98,3,66,0
93,149,60,0,66,0
94,121,43,1,57,0
95,118,41,0,53,0
96,86,38,0,34,0
97,58,18,0,30,0
98,86,33,0,34,0
99,65,31,1,20,0
