Yard Line,Number of Plays,Passing Plays,Passing Touchdowns,Rushing Plays,Rushing Touchdowns
1,357,113,61,219,125
2,294,134,41,98,38
3,235,108,50,99,30
4,243,130,39,83,23
5,281,138,54,97,20
6,227,109,37,97,13
7,228,111,34,78,5
8,239,106,33,99,12
9,305,144,34,114,14
10,263,127,26,99,11
11,253,129,24,82,11
12,249,125,23,92,4
13,270,116,17,100,9
14,279,141,11,94,6
15,314,148,20,119,8
16,248,125,13,95,6
17,267,127,13,92,4
18,309,172,18,94,2
19,324,152,13,125,2
20,344,176,19,116,6
21,305,159,15,115,2
22,290,141,12,107,2
23,299,156,12,116,1
24,312,160,12,113,1
25,321,158,13,112,2
26,329,168,15,110,3
27,309,149,10,120,1
28,299,154,5,103,2
29,302,146,6,120,0
30,385,209,11,135,1
31,338,170,7,120,1
32,344,171,12,130,2
33,319,166,4,114,1
34,373,188,7,145,1
35,441,229,13,151,1
36,374,202,5,131,1
37,324,174,3,101,1
38,361,199,1,118,3
39,353,198,3,126,1
40,414,220,7,138,1
41,372,209,4,94,1
42,387,197,5,145,0
43,378,193,5,146,0
44,434,236,5,153,1
45,470,241,3,163,0
46,395,192,2,155,0
47,435,226,7,160,0
48,461,249,5,155,1
49,400,221,4,131,2
50,550,282,1,168,1
51,454,242,5,157,1
52,392,229,1,119,1
53,468,251,2,161,0
54,489,243,4,185,1
55,616,348,3,194,0
56,455,228,7,167,0
57,466,244,2,171,0
58,483,251,1,181,0
59,510,250,7,182,0
60,651,341,2,219,2
61,496,275,5,143,0
62,470,240,3,173,1
63,563,303,6,187,1
64,548,293,1,188,0
65,3180,368,3,208,1
66,531,303,1,170,0
67,510,277,3,176,2
68,576,336,3,193,0
69,587,326,6,194,1
70,585,298,4,198,0
71,618,281,1,252,1
72,538,296,1,156,0
73,584,304,7,185,0
74,564,318,5,152,0
75,711,391,2,227,0
76,579,327,3,176,0
77,567,327,4,169,0
78,527,291,3,159,0
79,502,296,2,139,1
80,2315,1185,18,922,2
81,436,247,7,122,0
82,378,232,2,108,0
83,361,188,1,121,0
84,333,174,1,113,0
85,412,216,3,138,1
86,290,150,2,91,0
87,241,123,1,82,0
88,238,120,1,80,0
89,216,121,2,63,2
90,323,177,1,106,2
91,190,88,1,75,0
92,177,84,1,66,0
93,129,56,1,55,0
94,124,57,1,43,0
95,109,47,0,41,0
96,90,38,0,40,0
97,50,13,0,30,1
98,72,26,0,30,0
99,55,17,1,27,0
