Yard Line,Number of Plays,Passing Plays,Passing Touchdowns,Rushing Plays,Rushing Touchdowns
1,410,133,51,249,143
2,328,161,48,117,37
3,196,82,33,87,38
4,300,156,52,104,29
5,299,150,51,110,30
6,265,131,37,96,15
7,274,144,37,93,18
8,235,105,26,96,15
9,258,112,23,102,7
10,267,151,37,86,5
11,227,95,24,98,7
12,267,128,20,95,3
13,280,136,22,110,3
14,276,145,23,90,6
15,292,148,19,104,3
16,244,133,19,74,1
17,266,135,17,95,6
18,265,133,13,94,2
19,304,162,17,100,5
20,310,153,26,117,3
21,265,121,9,102,0
22,258,130,8,87,0
23,302,158,9,105,2
24,305,144,12,107,1
25,383,190,15,151,2
26,322,164,11,118,0
27,309,175,9,94,3
28,293,142,7,115,1
29,328,158,7,127,1
30,355,179,7,119,3
31,347,186,10,117,1
32,370,191,7,137,2
33,346,166,4,138,1
34,372,197,12,136,2
35,435,238,7,149,3
36,346,177,6,125,2
37,321,167,5,110,1
38,353,206,4,115,2
39,385,199,10,135,0
40,414,224,4,137,4
41,401,202,6,154,2
42,397,226,4,128,0
43,395,193,9,150,2
44,409,210,5,149,0
45,457,231,4,170,1
46,376,182,2,151,0
47,403,233,6,122,1
48,370,176,4,126,0
49,404,217,2,135,1
50,516,275,3,157,3
51,465,245,5,151,1
52,442,235,3,155,0
53,482,252,3,163,1
54,483,256,3,162,1
55,563,304,9,195,0
56,498,268,2,164,0
57,502,267,4,171,1
58,524,283,1,167,0
59,525,278,2,184,0
60,672,352,4,217,1
61,543,284,4,183,0
62,514,281,3,163,0
63,525,294,4,171,1
64,540,300,3,162,0
65,3237,342,2,212,3
66,565,293,5,196,0
67,574,320,4,184,0
68,522,282,0,179,0
69,632,349,5,235,0
70,611,321,6,198,0
71,627,282,3,250,0
72,539,286,4,176,0
73,568,308,3,175,1
74,529,298,2,158,0
75,714,413,3,204,0
76,564,307,2,175,2
77,567,331,2,152,0
78,613,355,3,169,1
79,524,271,5,186,0
80,2338,1193,13,952,3
81,448,237,3,156,0
82,387,208,2,128,0
83,357,198,4,97,0
84,333,170,3,115,0
85,369,195,2,113,0
86,290,138,2,103,0
87,248,129,3,86,1
88,258,139,1,84,0
89,217,104,0,76,0
90,288,146,1,105,0
91,172,89,4,59,0
92,177,93,1,61,0
93,137,57,1,63,1
94,109,43,0,44,0
95,126,64,2,45,0
96,78,37,0,32,0
97,82,34,0,33,0
98,58,20,1,28,0
99,80,35,1,33,0
