Yard Line,Number of Plays,Passing Plays,Passing Touchdowns,Rushing Plays,Rushing Touchdowns
1,391,102,42,261,139
2,300,133,40,113,42
3,235,89,38,117,40
4,227,97,29,91,23
5,255,108,36,113,17
6,237,106,37,97,14
7,252,109,31,103,19
8,273,127,30,108,14
9,260,117,28,101,5
10,292,143,35,106,12
11,270,133,22,97,5
12,262,137,18,87,4
13,276,131,18,118,4
14,286,116,15,127,7
15,338,149,19,136,7
16,258,117,10,107,1
17,243,123,14,87,3
18,233,114,12,84,2
19,295,139,16,107,4
20,329,173,15,98,4
21,260,115,14,106,2
22,293,145,13,101,3
23,280,155,8,104,4
24,296,137,6,133,2
25,326,159,11,127,1
26,308,166,7,96,1
27,316,152,9,115,1
28,312,158,5,112,4
29,336,157,10,131,2
30,357,184,11,119,3
31,325,168,7,109,2
32,291,143,6,118,3
33,350,181,9,127,4
34,373,203,11,127,1
35,398,229,11,127,0
36,393,200,9,146,1
37,378,194,2,144,1
38,347,182,4,107,1
39,395,208,7,133,1
40,460,240,10,167,0
41,410,202,2,161,1
42,392,201,6,143,0
43,393,212,1,128,0
44,424,205,3,163,1
45,499,251,1,182,3
46,421,208,1,161,2
47,393,203,3,135,1
48,438,212,3,164,0
49,467,259,5,161,1
50,499,264,3,165,0
51,437,222,4,158,0
52,453,230,3,176,1
53,445,232,6,169,0
54,535,280,9,167,0
55,628,317,2,204,0
56,534,275,0,185,3
57,477,250,3,172,1
58,476,245,6,169,1
59,588,327,7,189,1
60,644,332,3,230,0
61,524,265,3,184,1
62,568,292,4,203,3
63,516,262,1,181,0
64,562,292,3,201,3
65,686,340,5,243,0
66,561,267,3,216,3
67,599,295,2,221,2
68,536,285,4,189,1
69,572,300,4,203,0
70,3069,357,1,210,0
71,599,294,3,229,2
72,593,313,3,181,0
73,618,347,1,186,0
74,612,313,2,233,0
75,657,323,5,236,0
76,585,321,4,190,1
77,480,235,1,182,1
78,492,279,2,153,0
79,488,264,2,164,2
80,1260,646,7,484,2
81,423,228,2,141,1
82,344,168,1,123,0
83,322,151,1,115,0
84,303,151,1,103,0
85,354,172,0,121,1
86,284,140,3,99,0
87,237,104,1,99,0
88,232,107,1,90,0
89,206,97,2,89,1
90,243,114,1,97,1
91,170,67,1,79,1
92,155,60,0,69,0
93,97,51,0,32,0
94,115,46,0,49,0
95,102,51,1,36,0
96,97,31,0,49,0
97,76,24,0,40,0
98,72,22,1,40,1
99,83,30,1,43,2
