Yard Line,Number of Plays,Passing Plays,Passing Touchdowns,Rushing Plays,Rushing Touchdowns
1,420,107,54,287,153
2,348,199,37,120,54
3,273,138,54,100,38
4,264,132,50,86,30
5,274,129,49,106,26
6,236,114,32,97,15
7,244,123,32,85,16
8,227,96,24,100,11
9,260,120,35,100,9
10,274,144,29,83,9
11,251,126,19,88,6
12,237,122,16,79,6
13,275,142,24,99,6
14,329,171,23,113,8
15,348,174,18,87,1
16,287,147,12,92,1
17,318,186,17,99,0
18,297,156,16,88,4
19,286,166,15,82,4
20,342,168,17,126,3
21,269,152,16,84,1
22,279,138,7,98,6
23,287,157,13,83,0
24,326,191,11,104,3
25,353,189,13,121,2
26,316,169,11,113,1
27,326,174,3,106,1
28,313,157,4,108,2
29,332,182,8,108,0
30,393,222,8,121,2
31,362,185,7,124,1
32,339,192,8,106,1
33,310,168,4,108,0
34,351,181,6,139,2
35,403,221,11,135,2
36,414,244,6,113,0
37,323,162,6,125,0
38,409,235,6,128,1
39,396,218,1,137,0
40,386,217,9,117,0
41,353,199,3,114,2
42,349,192,9,116,1
43,424,229,4,144,1
44,438,252,8,132,2
45,461,247,5,150,2
46,424,231,2,140,0
47,425,226,3,152,1
48,459,266,2,149,0
49,418,237,0,128,1
50,555,304,6,157,0
51,408,225,5,137,0
52,467,245,3,162,0
53,462,262,5,143,0
54,518,285,3,161,0
55,582,327,3,179,3
56,502,252,3,171,1
57,472,264,4,150,1
58,474,257,0,149,1
59,567,303,0,194,0
60,618,339,1,196,2
61,609,316,2,208,1
62,567,314,1,182,1
63,601,335,2,199,0
64,631,322,3,241,0
65,3121,338,5,200,0
66,598,271,6,239,0
67,530,257,3,180,0
68,565,298,0,180,2
69,618,331,4,208,0
70,661,358,2,199,1
71,562,301,4,170,0
72,580,315,3,173,1
73,563,325,3,168,0
74,611,345,2,180,1
75,2291,1253,8,899,6
76,498,265,3,155,0
77,433,234,1,141,0
78,424,219,1,139,0
79,434,236,3,143,0
80,761,374,4,259,0
81,341,167,0,123,0
82,315,156,0,117,0
83,284,162,2,79,0
84,345,202,2,92,0
85,350,177,2,117,2
86,283,142,2,105,0
87,205,108,3,80,0
88,192,95,1,73,0
89,200,97,1,82,0
90,226,110,0,85,0
91,194,88,0,79,0
92,158,79,1,65,0
93,98,38,0,42,0
94,106,47,2,45,0
95,104,45,1,39,0
96,92,44,0,41,0
97,73,33,0,30,0
98,52,21,1,23,0
99,68,26,0,35,0
