Yard Line,Number of Plays,Passing Plays,Passing Touchdowns,Rushing Plays,Rushing Touchdowns
1,384,91,46,257,136
2,308,134,43,122,44
3,224,107,33,82,27
4,269,121,40,107,31
5,284,142,53,87,14
6,240,107,32,99,17
7,246,117,30,85,12
8,229,109,28,82,11
9,281,127,29,115,16
10,253,124,22,93,8
11,269,128,24,99,7
12,261,142,21,89,7
13,228,105,13,92,5
14,278,135,19,98,5
15,250,129,13,84,1
16,294,162,20,94,6
17,250,117,16,98,4
18,281,135,18,109,3
19,237,120,15,86,4
20,339,184,10,106,3
21,278,140,10,99,3
22,268,131,11,96,2
23,308,141,10,123,1
24,302,167,13,101,6
25,367,188,11,126,3
26,295,153,13,98,0
27,331,158,8,134,2
28,280,134,7,108,2
29,324,166,11,114,1
30,378,204,6,126,1
31,331,170,6,106,1
32,328,163,5,120,2
33,387,213,9,123,3
34,362,181,7,133,0
35,385,201,8,138,5
36,367,202,11,136,0
37,339,172,2,127,1
38,343,185,6,123,0
39,381,196,6,140,1
40,414,225,8,136,1
41,380,203,6,125,1
42,366,188,4,129,1
43,427,222,4,146,1
44,426,224,2,140,0
45,416,218,2,135,0
46,406,193,1,166,0
47,452,240,4,158,1
48,445,226,6,160,2
49,460,230,4,165,2
50,531,278,5,180,0
51,459,232,1,162,2
52,481,274,9,154,0
53,446,206,1,176,0
54,476,254,1,162,1
55,520,284,4,170,0
56,453,249,6,141,0
57,472,262,2,152,0
58,519,275,3,169,0
59,524,279,4,170,1
60,605,305,2,208,1
61,549,284,3,178,0
62,523,262,4,186,0
63,479,247,1,175,0
64,566,291,1,199,0
65,3082,325,3,197,1
66,547,280,1,185,0
67,569,306,6,173,0
68,533,274,2,208,0
69,607,330,0,206,1
70,596,308,4,192,2
71,591,239,2,246,0
72,617,298,3,208,0
73,552,297,8,176,0
74,577,307,7,173,1
75,707,329,6,268,0
76,536,280,3,175,2
77,569,313,2,177,0
78,576,309,6,184,0
79,545,276,5,191,0
80,2173,1122,14,840,2
81,410,192,1,139,1
82,380,201,1,120,0
83,357,187,0,116,0
84,363,181,2,121,0
85,367,192,1,120,0
86,270,122,2,116,0
87,288,137,2,115,0
88,205,97,1,82,1
89,218,98,3,84,0
90,299,145,5,118,0
91,164,67,3,71,1
92,179,75,0,77,0
93,118,44,1,61,0
94,115,38,0,55,0
95,140,62,2,55,0
96,87,31,0,43,0
97,74,18,0,41,0
98,82,31,1,40,0
99,51,20,4,29,0
